total,low,low_days,complexity_1,comp_1_days,entry accounts,total_working_days
1,0,0,1,1,0,1
2,0,0,2,2,0,2
3,0,0,3,4,1,4
3,1,5,1,5,1,11
2,0,0,2,16,1,16
1,0,0,1,4,0,4
3,1,8,2,4,0,12
4,2,14,2,18,3,32
4,0,0,4,21,3,21
3,0,0,3,5,2,5
3,1,8,3,22,1,22
4,0,0,4,18,3,18
4,0,0,3,23,3,28
7,0,0,6,34,5,41
4,0,0,3,17,3,22
6,0,0,5,33,3,42
4,0,0,4,20,3,20
7,2,15,7,38,6,38
8,4,34,8,55,4,55
4,0,0,4,15,1,15
4,1,9,4,18,3,18
5,1,9,5,27,2,27
10,0,0,9,47,8,53
1,0,0,1,2,1,2
5,0,0,4,21,4,25
5,2,10,5,21,4,21
4,1,3,4,16,1,16
2,2,12,2,12,2,12
1,0,0,1,5,1,5
8,1,8,8,38,7,38
3,2,16,3,21,2,21
2,1,8,1,4,2,12
3,0,0,2,5,2,10
5,2,16,4,15,2,23
5,2,16,4,22,5,27
6,4,34,4,25,5,36
5,0,0,5,19,4,19
7,3,16,4,18,4,34
2,0,0,2,6,1,6
2,0,0,1,4,1,8
2,2,15,1,7,2,15
1,0,0,1,5,1,5
5,1,9,2,8,1,26
3,1,8,0,0,3,18
5,2,16,5,17,2,17
5,2,15,3,20,3,31
4,1,7,2,7,1,17
2,1,7,1,4,1,11
5,2,13,2,10,3,26
4,1,6,2,8,3,15
1,0,0,0,0,0,4
4,1,6,3,11,2,17
2,0,0,1,5,2,10
7,0,0,5,17,3,26
2,1,9,2,9,2,9
7,3,24,3,10,6,39
7,3,24,3,16,6,39
3,2,13,2,10,1,18
4,2,16,3,17,2,22
3,0,0,3,13,1,13
4,0,0,3,8,1,12
2,0,0,1,4,2,9
1,0,0,1,4,0,4
4,1,7,2,4,3,16
2,1,8,2,9,1,9
3,1,8,1,1,0,14
6,2,16,3,13,3,31
3,0,0,3,6,2,6
1,1,8,0,0,0,8
1,1,8,1,8,1,8
5,3,20,4,19,4,27
5,0,0,4,20,3,25
3,0,0,2,3,2,8
2,1,3,1,2,2,5
4,1,8,3,5,4,13
14,6,43,11,50,8,72
1,0,0,1,0,1,0
3,1,9,2,9,0,10
4,0,0,4,3,3,3
4,1,8,3,16,2,20
4,0,0,4,16,3,16
2,0,0,2,5,2,5
5,0,0,2,10,4,20
3,2,11,2,11,3,14
1,1,8,1,8,0,8
7,1,8,6,23,3,28
4,2,15,3,16,3,21
2,0,0,2,7,2,7
4,1,8,3,14,2,22
2,1,2,1,2,1,7
4,2,15,3,12,3,20
3,0,0,3,15,2,15
5,4,30,4,23,4,31
5,3,22,4,27,3,32
5,2,16,4,16,3,24
3,3,21,0,0,1,21
1,0,0,1,1,0,1
5,3,24,4,29,5,34
5,3,20,4,24,3,29
5,0,0,5,11,4,11
4,0,0,3,6,3,11
2,2,22,0,0,0,22
1,0,0,1,5,0,5
3,1,8,2,11,2,12
1,0,0,1,1,0,1
5,0,0,5,12,0,12
2,1,8,2,13,2,13
7,3,22,5,23,4,38
1,1,8,1,8,1,8
5,1,8,2,10,1,24
8,3,24,6,29,3,40
3,1,8,3,11,3,11
5,1,8,2,10,1,21
4,3,21,4,27,4,27
10,5,30,7,37,5,51
1,1,9,0,0,0,9
8,4,32,4,25,3,56
6,1,7,5,27,3,28
1,1,8,0,0,1,8
2,2,16,2,16,1,16
5,2,16,4,21,2,21
6,3,21,3,18,2,33
2,2,16,2,16,1,16
3,2,15,2,12,2,20
5,2,14,4,25,3,30
8,3,22,7,39,4,44
2,1,6,2,11,0,11
6,1,7,3,9,1,21
3,2,16,2,11,3,19
7,3,22,5,20,3,27
5,4,27,4,22,4,29
2,0,0,1,5,0,9
6,4,24,3,13,3,28
6,2,15,2,9,3,34
7,1,6,4,10,3,25
7,1,5,6,26,4,31
3,0,0,2,7,1,7
5,1,7,5,24,3,24
11,6,43,7,45,4,69
7,4,28,4,15,3,30
6,1,6,4,18,3,28
3,2,15,3,19,1,19
3,0,0,2,10,0,13
4,0,0,2,10,1,19
1,0,0,1,2,0,2
6,5,37,3,15,2,38
14,13,111,8,68,9,120
4,1,11,3,13,4,15
1,1,7,1,7,1,7
1,0,0,0,0,1,5
6,5,37,2,17,4,42
5,3,15,2,7,1,23
2,2,14,1,7,0,14
7,4,27,3,21,2,39
4,3,22,3,19,3,27
5,4,29,2,14,0,34
6,3,19,4,19,2,31
1,1,5,1,5,1,5
4,3,20,3,17,3,25
5,4,26,2,7,2,26
7,5,31,4,22,3,38
6,6,48,4,32,2,48
8,7,49,7,49,2,53
1,1,3,1,3,0,3
2,0,0,2,5,1,5
2,1,8,2,9,0,9
1,1,8,0,0,1,8
4,4,31,2,15,0,31
2,1,6,1,6,2,9
9,6,49,5,39,6,72
5,4,30,1,3,2,33
1,0,0,1,8,1,8
8,5,36,6,38,6,51
4,1,9,3,17,2,17
5,2,15,3,6,1,21
5,4,30,4,25,3,32
6,3,22,5,30,2,38
5,3,23,2,8,2,31
3,2,16,3,23,3,23
7,2,17,7,45,6,45
3,3,23,3,23,1,23
3,3,24,2,16,1,24
5,5,31,3,17,3,31
5,4,31,3,19,4,35
5,5,40,3,24,3,40
8,3,22,8,32,6,32
1,1,6,1,6,0,6
4,4,32,1,6,1,32
2,1,8,0,0,1,13
8,5,32,5,25,4,44
1,1,8,1,8,0,8
4,1,8,4,19,2,19
4,1,1,3,9,3,17
8,8,73,6,55,6,73
1,1,8,1,8,0,8
8,5,38,6,30,5,46
1,0,0,0,0,1,2
5,3,25,2,6,2,31
2,1,9,1,2,0,11
3,2,16,2,10,2,18
4,3,24,2,8,2,24
9,8,73,6,49,4,77
1,1,8,0,0,1,8
2,1,8,1,0,2,8
1,1,7,1,7,0,7
5,4,34,1,8,2,37
1,1,6,1,6,1,6
1,1,8,1,8,1,8
7,2,17,6,33,6,42
6,5,39,5,33,5,41
5,1,2,4,15,2,20
2,0,0,2,4,1,4
4,0,0,3,13,0,17
1,0,0,1,5,1,5
4,1,7,4,12,3,12
1,1,1,0,0,0,1
1,0,0,0,0,0,5
3,2,14,3,15,0,15
3,1,7,2,7,2,11
1,0,0,1,5,1,5
3,1,7,0,0,1,13
1,0,0,1,4,1,4
4,3,22,1,2,1,24
2,1,8,2,13,1,13
2,0,0,1,9,1,14
3,2,15,3,20,1,20
3,0,0,1,4,1,13
1,0,0,1,3,1,3
2,1,9,2,9,0,9
4,2,12,2,7,1,18
5,3,21,3,14,4,29
2,0,0,1,0,1,5
4,1,9,3,7,4,16
3,1,6,3,14,2,14
4,3,14,4,17,3,17
1,1,9,0,0,1,9
1,1,6,1,6,1,6
3,1,8,3,15,2,15
2,2,11,2,11,1,11
2,0,0,1,2,1,6
4,2,14,2,9,3,23
3,3,16,2,10,2,16
3,3,22,2,16,3,22
3,1,9,3,14,1,14
3,0,0,3,13,1,13
4,1,6,2,12,3,26
3,0,0,3,15,2,15
2,0,0,1,2,1,7
4,3,25,3,21,2,28
3,3,24,1,6,0,24
3,2,14,2,10,2,19
7,3,21,4,18,4,37
6,3,19,4,14,4,27
2,0,0,1,4,2,8
6,3,22,1,4,2,36
4,3,25,4,28,0,28
2,2,16,1,7,2,16
2,2,14,2,14,1,14
1,1,6,0,0,0,6
1,1,8,1,8,1,8
3,0,0,1,5,2,13
7,2,15,5,24,4,33
1,1,5,1,5,1,5
4,2,10,3,11,1,14
7,4,31,5,30,4,46
2,0,0,2,9,2,9
3,2,14,1,7,2,19
5,3,15,2,11,4,23
4,1,9,3,20,2,29
1,1,8,0,0,1,8
3,2,11,1,6,3,20
4,3,25,3,19,3,27
4,2,16,3,21,2,26
1,0,0,1,0,1,0
2,1,7,2,10,1,10
5,2,18,5,24,3,24
5,4,27,2,10,1,29
5,2,18,4,27,2,32
2,0,0,2,4,0,4
1,0,0,0,0,0,4
4,2,12,2,12,3,24
3,1,8,2,4,1,12
1,1,7,0,0,0,7
3,0,0,3,7,0,7
5,3,22,5,31,3,31
6,5,33,4,21,4,35
6,1,3,5,20,4,23
3,1,4,1,4,1,12
4,1,9,3,13,2,18
1,0,0,1,5,1,5
5,2,17,4,21,2,21
4,2,13,3,14,3,21
3,0,0,2,5,2,6
6,4,26,3,20,3,30
6,5,36,5,30,3,39
1,0,0,0,0,0,2
4,3,26,3,26,2,31
3,0,0,2,4,1,8
2,0,0,2,6,0,6
3,1,7,3,15,2,15
5,1,8,3,17,3,17
4,2,13,4,25,3,25
3,2,19,2,12,0,22
2,1,6,1,6,1,9
2,1,6,1,5,2,11
5,3,15,3,12,2,23
2,1,9,2,14,2,14
1,0,0,1,5,1,5
1,1,9,1,9,0,9
2,1,8,2,12,2,12
4,1,7,2,7,3,16
2,1,7,1,4,0,11
3,1,6,2,10,1,14
4,4,26,0,0,1,26
3,0,0,3,11,1,11
5,2,14,5,21,3,21
5,3,19,4,15,4,22
1,0,0,1,1,1,1
2,1,7,2,11,1,11
4,2,14,2,12,3,23
1,1,7,1,7,1,7
4,1,9,3,20,2,27
5,4,29,5,33,3,33
6,1,6,6,27,5,27
4,2,15,2,15,2,24
4,2,16,4,20,3,20
3,1,9,2,9,2,14
1,0,0,1,4,1,4
3,1,7,2,6,1,13
2,1,7,2,12,1,12
4,1,7,4,16,2,16
2,0,0,1,4,2,8
5,2,11,4,18,5,21
1,1,6,1,6,1,6
5,4,36,4,31,5,41
5,5,35,3,21,5,35
4,1,7,4,21,1,21
4,1,10,2,8,1,22
5,1,7,1,3,3,19
1,0,0,0,0,1,4
3,2,16,1,1,1,17
4,2,18,4,22,2,22
4,3,24,4,25,3,25
6,1,8,6,17,3,17
1,0,0,1,5,1,5
7,4,28,4,18,3,35
2,2,15,1,7,2,15
2,0,0,1,9,1,9
2,1,7,2,8,0,8
2,1,8,2,13,0,13
4,2,12,3,8,1,16
3,1,7,1,4,1,15
1,1,7,1,7,1,7
7,2,8,3,9,6,28
6,3,22,2,15,4,38
1,0,0,0,0,1,5
2,2,14,2,14,2,14
2,1,7,2,12,2,12
2,1,8,1,8,1,11
5,2,12,2,9,1,21
1,0,0,1,5,1,5
2,1,7,2,12,2,12
2,0,0,1,1,0,6
2,1,6,2,10,0,10
2,1,5,1,5,1,10
4,1,6,3,13,2,19
3,0,0,3,11,2,11
4,1,7,3,8,3,15
4,2,15,3,17,1,25
2,1,8,1,8,1,11
4,0,0,4,5,2,5
2,1,8,1,4,0,12
4,2,15,2,10,2,23
3,0,0,3,10,2,10
2,2,19,2,19,1,19
3,1,7,2,10,3,17
3,1,8,3,14,3,14
3,1,8,1,8,3,13
3,1,8,1,5,1,18
2,1,5,1,5,1,9
4,1,10,4,21,2,21
2,1,7,2,7,1,7
1,1,7,1,7,0,7
5,2,14,3,15,1,29
3,1,7,1,1,1,12
3,1,7,1,0,3,12
2,1,7,2,12,2,12
2,0,0,1,4,2,10
1,0,0,1,5,1,5
2,1,7,2,10,2,10
2,1,7,2,10,0,10
5,3,20,3,15,3,28
5,2,13,1,4,3,24
3,0,0,3,9,2,9
1,0,0,1,4,1,4
2,1,7,1,7,1,8
5,4,37,4,33,3,42
4,3,16,2,13,4,21
3,0,0,2,4,2,8
3,2,14,2,11,2,18
1,0,0,1,2,1,2
4,2,13,2,12,3,23
5,3,20,4,14,4,21
4,2,18,4,28,3,28
1,0,0,1,2,1,2
4,1,7,4,13,3,13
3,0,0,3,7,2,7
3,1,7,3,15,2,15
3,1,6,2,5,2,11
4,3,22,2,14,2,29
4,2,13,4,15,2,15
4,2,14,2,5,0,19
3,1,10,2,5,1,15
2,0,0,2,9,1,9
5,1,10,4,11,1,21
4,2,18,3,15,1,24
7,3,25,7,41,5,41
2,2,12,2,12,0,12
1,0,0,1,4,0,4
3,2,15,1,7,1,20
3,2,18,1,10,1,22
2,1,1,1,1,1,2
5,4,35,2,17,2,45
3,2,15,3,19,2,19
4,2,11,3,5,4,11
3,1,7,2,16,2,23
4,1,10,3,18,2,22
3,0,0,1,4,1,14
4,3,26,3,18,3,26
2,0,0,2,9,2,9
3,3,24,2,14,3,24
2,1,8,2,9,2,9
2,1,5,1,5,1,10
3,1,6,2,11,0,16
2,1,8,2,13,2,13
1,0,0,1,1,0,1
7,6,45,6,43,3,50
3,2,12,1,6,0,18
3,0,0,1,4,1,13
6,4,30,4,18,2,35
2,1,8,1,0,2,8
5,2,15,4,17,5,25
4,2,17,3,19,0,27
5,3,28,4,31,2,36
1,0,0,1,5,1,5
2,0,0,2,4,2,4
3,0,0,3,11,2,11
4,0,0,4,16,2,16
6,3,11,5,19,4,23
2,2,14,1,7,1,14
1,1,6,0,0,0,6
3,1,6,3,12,1,12
2,1,3,0,0,2,8
3,2,16,1,2,1,18
3,2,4,3,8,1,8
2,1,8,1,8,1,12
4,3,28,4,31,2,31
3,3,25,0,0,2,25
6,3,19,4,24,2,32
2,0,0,2,9,0,9
1,1,7,1,7,1,7
5,4,27,4,17,2,27
3,2,17,3,22,2,22
1,0,0,1,0,1,0
2,2,13,1,7,0,13
3,2,17,2,10,2,18
1,1,5,1,5,1,5
1,0,0,1,1,1,1
2,0,0,1,5,1,10
4,1,8,2,3,1,17
3,2,17,1,0,1,17
4,4,34,2,17,3,34
3,2,15,3,20,2,20
3,3,22,1,8,2,22
3,2,15,2,15,2,21
1,1,6,1,6,0,6
2,1,9,1,5,0,14
2,0,0,2,11,2,11
3,1,6,2,7,0,12
3,1,8,2,6,1,14
6,1,6,4,9,1,17
3,2,14,2,14,2,19
2,2,15,1,6,1,15
7,4,25,3,14,5,38
1,1,9,1,9,1,9
7,3,23,6,28,4,32
2,0,0,1,4,1,8
3,0,0,3,12,2,12
3,1,7,2,11,3,16
2,0,0,2,5,1,5
3,3,25,1,8,3,25
2,1,4,1,1,1,5
5,2,14,4,23,3,28
4,1,7,3,8,2,15
3,1,3,2,5,2,8
2,1,8,0,0,0,12
1,1,9,0,0,1,9
3,2,13,3,18,3,18
3,1,6,3,12,2,12
1,1,7,1,7,0,7
3,0,0,3,10,3,10
1,0,0,1,4,0,4
2,0,0,2,3,0,3
4,3,27,2,10,2,28
6,1,8,6,23,5,23
2,0,0,1,4,0,6
2,1,9,1,1,1,10
2,0,0,2,12,1,12
4,2,16,4,22,2,22
4,4,27,2,12,1,27
2,0,0,1,5,1,10
2,0,0,2,10,2,10
2,0,0,0,0,2,8
2,1,6,1,0,2,6
2,1,9,1,0,1,9
6,3,19,6,23,3,23
3,1,9,3,13,0,13
2,1,6,1,6,1,11
2,0,0,2,8,1,8
4,1,9,3,14,3,18
4,2,8,3,15,2,22
3,3,16,1,2,1,16
5,2,12,4,19,3,24
4,3,25,3,19,3,27
2,1,6,2,10,1,10
4,2,16,3,14,4,22
4,1,6,3,13,2,19
2,2,7,2,7,1,7
1,0,0,1,5,1,5
1,1,3,0,0,1,3
3,3,20,1,8,1,20
6,1,8,4,6,3,18
7,1,8,7,27,1,27
2,0,0,2,6,2,6
1,0,0,0,0,0,5
5,2,16,2,12,3,23
3,1,8,2,2,1,10
2,2,15,1,6,1,15
3,1,8,3,13,2,13
5,4,26,4,22,1,30
3,0,0,2,7,0,11
5,3,18,4,21,2,21
3,0,0,2,20,2,20
4,2,18,4,23,2,23
8,5,33,4,33,6,56
3,1,5,2,0,3,5
2,1,7,1,4,2,11
5,1,4,3,8,3,12
1,1,9,1,9,0,9
1,1,9,1,9,1,9
2,2,12,1,4,1,12
5,1,7,3,8,1,12
3,1,4,1,0,2,12
2,2,12,0,0,2,12
3,3,19,3,19,2,19
1,1,9,1,9,0,9
5,3,22,4,15,4,25
7,0,0,5,18,4,26
3,1,7,2,11,2,16
4,1,7,2,10,2,16
2,1,6,1,6,0,10
3,2,9,1,2,2,11
1,1,8,1,8,1,8
4,1,7,2,13,4,29
3,0,0,2,7,2,15
4,0,0,3,13,2,17
1,1,8,1,8,0,8
2,0,0,1,5,1,6
2,1,8,2,11,0,11
3,3,20,1,6,3,20
3,1,3,3,11,1,11
5,2,11,4,14,5,19
5,3,19,2,13,3,29
2,0,0,0,0,0,9
6,3,22,3,17,2,36
1,1,9,1,9,0,9
2,1,8,2,13,1,13
2,2,14,1,7,1,14
2,1,8,2,20,1,20
1,1,7,1,7,1,7
