date,low,med,high,total,sum_total,complexity_1,complexity_2,complexity_3
02/01/2017,0,5,0,5,5,3,2,0
03/01/2017,2,23,3,28,33,16,10,2
04/01/2017,2,17,0,19,52,10,9,0
05/01/2017,2,15,0,17,69,7,8,2
06/01/2017,4,14,0,18,87,15,3,0
09/01/2017,1,25,2,28,115,18,9,1
10/01/2017,4,24,0,28,143,12,13,3
11/01/2017,6,10,1,17,160,8,8,1
12/01/2017,4,16,2,22,182,13,7,2
13/01/2017,4,19,0,23,205,13,10,0
16/01/2017,3,14,1,18,223,11,6,1
17/01/2017,4,18,4,26,249,15,9,2
18/01/2017,4,14,2,20,269,12,6,2
19/01/2017,8,18,3,29,298,22,3,4
20/01/2017,3,9,1,13,311,7,5,1
23/01/2017,1,23,0,24,335,10,12,2
24/01/2017,2,20,0,22,357,12,7,3
25/01/2017,1,19,0,20,377,15,4,1
26/01/2017,4,15,0,19,396,16,3,0
27/01/2017,1,17,1,19,415,9,10,0
30/01/2017,4,11,0,15,430,10,5,0
31/01/2017,1,27,2,30,460,14,15,1
01/02/2017,4,16,1,21,481,15,4,2
02/02/2017,1,15,2,18,499,11,7,0
03/02/2017,1,14,0,15,514,6,6,3
06/02/2017,1,27,3,31,545,18,13,0
07/02/2017,4,21,0,25,570,17,4,4
08/02/2017,2,26,0,28,598,16,11,1
09/02/2017,0,23,0,23,621,11,12,0
10/02/2017,0,15,0,15,636,12,3,0
13/02/2017,1,28,3,32,668,19,13,0
14/02/2017,2,13,0,15,683,10,5,0
15/02/2017,1,22,1,24,707,13,10,1
16/02/2017,1,22,0,23,730,15,7,1
17/02/2017,1,25,2,28,758,14,11,3
20/02/2017,0,19,0,19,777,14,4,1
21/02/2017,4,30,2,36,813,22,12,2
22/02/2017,3,27,1,31,844,17,11,3
23/02/2017,0,20,0,20,864,9,9,2
24/02/2017,4,21,1,26,890,20,6,0
27/02/2017,4,25,1,30,920,20,10,0
28/02/2017,5,13,2,20,940,14,6,0
01/03/2017,1,21,3,25,965,17,7,1
02/03/2017,5,22,1,28,993,19,8,1
03/03/2017,2,15,0,17,1010,11,6,0
06/03/2017,5,22,4,31,1041,19,10,2
07/03/2017,4,16,2,22,1063,12,9,1
08/03/2017,2,18,1,21,1084,11,8,2
09/03/2017,5,26,0,31,1115,20,10,1
10/03/2017,3,19,1,23,1138,14,8,1
13/03/2017,5,20,2,27,1165,19,6,2
14/03/2017,1,17,1,19,1184,12,6,1
15/03/2017,6,18,1,25,1209,13,10,2
16/03/2017,5,19,2,26,1235,14,10,2
17/03/2017,2,11,2,15,1250,12,3,0
20/03/2017,4,15,0,19,1269,11,8,0
21/03/2017,7,15,1,23,1292,14,9,0
22/03/2017,1,19,1,21,1313,15,6,0
23/03/2017,4,15,1,20,1333,14,5,1
24/03/2017,6,17,0,23,1356,17,4,2
27/03/2017,5,17,3,25,1381,12,10,3
28/03/2017,6,13,2,21,1402,11,10,0
29/03/2017,4,8,2,14,1416,9,4,1
30/03/2017,11,14,4,29,1445,17,9,3
31/03/2017,7,13,4,24,1469,19,3,2
01/04/2017,0,1,0,1,1470,1,0,0
03/04/2017,3,17,2,22,1492,14,7,1
04/04/2017,5,16,1,22,1514,11,10,1
05/04/2017,14,17,1,32,1546,14,16,2
06/04/2017,3,13,3,19,1565,13,6,0
07/04/2017,6,17,0,23,1588,13,7,3
10/04/2017,8,17,1,26,1614,14,12,0
11/04/2017,8,17,0,25,1639,14,11,0
12/04/2017,2,14,1,17,1656,9,8,0
13/04/2017,6,14,0,20,1676,12,8,0
14/04/2017,2,5,0,7,1683,3,4,0
17/04/2017,1,6,0,7,1690,7,0,0
18/04/2017,11,11,1,23,1713,9,14,0
19/04/2017,4,17,1,22,1735,15,6,1
20/04/2017,3,10,1,14,1749,8,6,0
21/04/2017,6,9,1,16,1765,11,5,0
24/04/2017,5,14,6,25,1790,14,10,1
25/04/2017,2,14,1,17,1807,12,5,0
26/04/2017,3,20,0,23,1830,13,9,1
27/04/2017,8,12,1,21,1851,13,7,1
28/04/2017,5,12,0,17,1868,9,8,0
